2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:39:28 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:28 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:39:31 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:31 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:31 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:32 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:32 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:33 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:33 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:34 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:34 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:35 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:35 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:39:35 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:38 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:38 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:39 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:39:43 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:43 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:43 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:44 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:45 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:45 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:46 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:46 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:46 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:47 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:47 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:39:47 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:48 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:48 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:48 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:49 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:49 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:49 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:50 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:51 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:51 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:52 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:52 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:52 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:53 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:53 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:53 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:39:54 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:54 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:54 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:55 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:55 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:55 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:56 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:57 : get UDP information from192.168.1.105,CPU Usage:16 
2014-07-08 19:39:57 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:58 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:58 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:39:58 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:59 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:59 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:59 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:00 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:00 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:00 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:01 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:01 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:01 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:02 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:03 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:03 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:04 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:04 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:04 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:05 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:05 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:05 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:06 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:06 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:06 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:07 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:07 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:08 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:08 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:09 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:09 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:10 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:10 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:40:10 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:11 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:11 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:40:11 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:12 : get UDP information from192.168.1.104,CPU Usage:0 
